uai,nom_etablissement,nombre de lettre,_3eme_total,longitude,latitude,taux_de_reussite_g
9720495F,Collège Trianon,15,73,-60.911570334238235,14.6205289328091,96.0
0691664J,Collège Jean Jaurès,19,188,4.883449409156436,45.75759880249377,75.0
0693093M,Collège du Tonkin,17,124,4.863710113971357,45.77637926436517,91.0
0694296V,Collège Simone Lagrange,23,89,4.903774500573558,45.77926108782248,84.0
0251395F,Collège Lou Blazer,18,156,6.791109347380717,47.49841073923035,93.0
0251397H,Collège les Hautes Vignes,25,86,6.85640985034442,47.47165765562169,83.0
0250056A,Collège Jouffroy d'Abbans,25,212,6.8414497402084065,47.512047196475024,84.0
0251599C,Collège les Bruyères,20,121,6.829900270160826,47.45420204696176,88.0
0390907Z,Collège Saint-Exupéry,21,157,5.565940517303166,46.67961909845252,84.0
0900017E,Collège de Châteaudun,21,80,6.852888130471386,47.645771115844525,90.0
0211357L,Collège Jean-Philippe Rameau,28,113,4.994749445961136,47.322807626205346,85.0
0211523S,Collège Boris Vian,18,80,4.992659804035509,47.33972365795748,87.0
0711136Z,Collège Roger Semet,19,100,3.9939023566856253,46.473825448449496,73.0
0710056A,Collège Jean Moulin,19,101,4.367085320753354,46.67345668102723,73.0
0220008P,Collège Victor Vasarely,23,45,-2.512399343445446,48.297026707801464,97.0
0290100B,Collège Penn Ar C'hleuz,23,115,-4.482439921418086,48.416841026274234,79.0
0290149E,Collège Kerhallet,17,112,-4.510359525683293,48.40363080610729,89.0
0291087Z,Collège Max Jacob,17,137,-4.131380514595773,47.98751825049506,86.0
0350969N,Collège Bellevue,16,124,-2.0767905322319713,47.655874021168884,77.0
0350895H,Collège Rosa Parks,18,128,-1.7146799912092223,48.121201797651814,87.0
0560214D,Collège Paul Langevin,21,118,-3.2723696557078217,47.80278839994521,93.0
0561330S,Collège Anita Conti,19,103,-3.380510425523694,47.73670303781284,76.0
0180593X,Collège Victor Hugo,19,144,2.4095705883585388,47.11022608113902,78.0
0280034K,Collège Jean Macé,17,110,1.461900355972772,48.44813319315256,97.0
0280753S,Collège Nicolas Robert,22,122,1.361220145084155,48.7165647756616,74.0
0371248F,Collège André Malraux,21,81,0.9843105117978693,47.39745126789944,92.0
0370071B,Collège la Rabière,18,74,0.6683205684355672,47.3463353760834,95.0
0370041U,Collège Jules Michelet,22,98,0.694659408190326,47.38429543035467,84.0
0451450G,Collège Jean Mermoz,19,75,2.620949432387217,47.707951453192976,74.0
0450939B,Collège Alain-Fournier,22,128,1.9304602299494644,47.832425345041756,78.0
0451070U,Collège Montesquieu,19,152,1.9364195008661584,47.833157310219086,76.0
6200006M,Collège Arthur Giovoni,22,173,8.74855512535525,41.94145744400021,92.0
6200011T,Collège Laetitia Bonaparte,26,142,8.734748563149186,41.92628305932155,78.0
6200697N,Collège Maria de Peretti,24,118,9.266768799318287,41.57767404890518,86.0
0541471F,Collège Amilcar Zannoni,23,85,5.982076411201353,49.226227106721396,75.0
0541469D,Collège La Fontaine,19,70,6.134789846987164,48.69846285671614,75.0
0541578X,Collège des Trois Frontières,28,105,5.797190256340773,49.527375055269054,79.0
0540088C,Collège Anatole France,22,48,5.790349509391255,49.544708645677595,83.0
0541327Z,Collège Jean Lamour,19,50,6.1632895291222685,48.703697089937826,89.0
0550701N,Collège Jacques Prévert,23,68,5.170279675783989,48.779758068548,79.0
0550020Y,Collège Alfred Kastler,22,91,5.198129436091281,49.48640760051944,93.0
0572487U,Collège François Rabelais,25,83,6.744419552148368,49.1629203433612,73.0
0572183N,Collège Jean-Baptiste Eble,26,105,6.92538983224191,49.05257095354602,83.0
0570104D,Collège Nicolas Untersteller,28,131,6.916059753764804,49.19226476766512,89.0
0572579U,Collège Jules Ferry,19,88,6.168929956923903,49.148211697080846,88.0
0881146T,Collège Georges Clémenceau,26,173,6.4474840625208225,48.17907491377789,69.0
0881097P,Collège Louis Armand,20,173,6.4221073701919025,48.18499326867896,78.0
0881099S,Collège Joseph Julien Souhait,29,105,6.967291505973852,48.281066500528894,85.0
0080949N,Collège George Sand,19,84,4.646499964728705,49.93458688259741,96.0
0100947A,Collège Pierre et François Pithou,33,123,4.061640289744202,48.3075441897081,68.0
0520822L,Collège Cressot,15,85,5.156077998088681,48.44041161771185,88.0
0511214T,Collège trois Fontaines,23,100,4.010009804803653,49.27653803620592,88.0
0511254L,Collège François Legros,23,167,4.011479492261338,49.236645762376725,80.0
0511802G,Collège Georges Braque,22,93,4.017080105216009,49.22324921302735,77.0
